longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,Predicted_Values_RF,address
-122.27,37.85,52,1228,293.0,648,303,2.1202,155500,0,0,0,1,0,153021.0,"1889;1891;1893;1895 Harmon Street, Berkeley, CA 94705, United States of America"
-122.26,37.84,50,2239,455.0,990,419,1.9911,158700,0,0,0,1,0,151690.0,"5321 Claremont Avenue, Oakland, CA 94609, United States of America"
-122.27,37.84,52,1503,298.0,690,275,2.6033,162900,0,0,0,1,0,161545.0,"5509 Martin Luther King Jr Way, Emeryville, CA 94608, United States of America"
-122.27,37.85,40,751,184.0,409,166,1.3578,147500,0,0,0,1,0,144120.01,"1889;1891;1893;1895 Harmon Street, Berkeley, CA 94705, United States of America"
-122.27,37.85,42,1639,367.0,929,366,1.7135,159800,0,0,0,1,0,154772.0,"1889;1891;1893;1895 Harmon Street, Berkeley, CA 94705, United States of America"
-122.27,37.84,52,2436,541.0,1015,478,1.725,113900,0,0,0,1,0,126567.0,"5509 Martin Luther King Jr Way, Emeryville, CA 94608, United States of America"
-122.27,37.84,52,1688,337.0,853,325,2.1806,99700,0,0,0,1,0,112295.0,"5509 Martin Luther King Jr Way, Emeryville, CA 94608, United States of America"
-122.27,37.84,52,2224,437.0,1006,422,2.6,132600,0,0,0,1,0,146495.0,"5509 Martin Luther King Jr Way, Emeryville, CA 94608, United States of America"
-122.28,37.85,41,535,123.0,317,119,2.4038,107500,0,0,0,1,0,113541.0,"1404 66th Street, Berkeley, CA 94703, United States of America"
-122.28,37.85,49,1130,244.0,607,239,2.4597,93800,0,0,0,1,0,107643.0,"1404 66th Street, Berkeley, CA 94703, United States of America"
-122.28,37.85,52,1898,421.0,1102,397,1.808,105500,0,0,0,1,0,119284.0,"1404 66th Street, Berkeley, CA 94703, United States of America"
-122.28,37.84,50,2082,492.0,1131,473,1.6424,108900,0,0,0,1,0,117281.0,"1045 Aileen Street, Oakland, CA 94608, United States of America"
-122.28,37.84,52,729,160.0,395,155,1.6875,132000,0,0,0,1,0,126573.0,"1045 Aileen Street, Oakland, CA 94608, United States of America"
-122.28,37.84,49,1916,447.0,863,378,1.9274,122300,0,0,0,1,0,127853.0,"1045 Aileen Street, Oakland, CA 94608, United States of America"
-122.28,37.84,52,2153,481.0,1168,441,1.9615,115200,0,0,0,1,0,120332.0,"1045 Aileen Street, Oakland, CA 94608, United States of America"
-122.27,37.84,48,1922,409.0,1026,335,1.7969,110400,0,0,0,1,0,113400.0,"5509 Martin Luther King Jr Way, Emeryville, CA 94608, United States of America"
-122.27,37.83,49,1655,366.0,754,329,1.375,104900,0,0,0,1,0,109455.0,"715 40th Street, Oakland, CA 94609, United States of America"
-122.27,37.83,51,2665,574.0,1258,536,2.7303,109700,0,0,0,1,0,134756.0,"715 40th Street, Oakland, CA 94609, United States of America"
-122.27,37.83,49,1215,282.0,570,264,1.4861,97200,0,0,0,1,0,103146.0,"715 40th Street, Oakland, CA 94609, United States of America"
-122.27,37.83,48,1798,432.0,987,374,1.0972,104500,0,0,0,1,0,109964.01,"715 40th Street, Oakland, CA 94609, United States of America"
-122.28,37.83,52,1511,390.0,901,403,1.4103,103900,0,0,0,1,0,106302.0,"3889 San Pablo Avenue, Emeryville, CA 94608, United States of America"
-122.26,37.83,52,1470,330.0,689,309,3.48,191400,0,0,0,1,0,200934.0,"4130 Webster Street, Oakland, CA 94609, United States of America"
-122.26,37.83,52,2432,715.0,1377,696,2.5898,176000,0,0,0,1,0,187993.0,"4130 Webster Street, Oakland, CA 94609, United States of America"
-122.26,37.83,52,1665,419.0,946,395,2.0978,155400,0,0,0,1,0,148302.0,"4130 Webster Street, Oakland, CA 94609, United States of America"
-122.26,37.83,51,936,311.0,517,249,1.2852,150000,0,0,0,1,0,141674.0,"4130 Webster Street, Oakland, CA 94609, United States of America"
-122.26,37.84,49,713,202.0,462,189,1.025,118800,0,0,0,1,0,129478.0,"5321 Claremont Avenue, Oakland, CA 94609, United States of America"
-122.26,37.84,52,950,202.0,467,198,3.9643,188800,0,0,0,1,0,199597.0,"5321 Claremont Avenue, Oakland, CA 94609, United States of America"
-122.26,37.83,52,1443,311.0,660,292,3.0125,184400,0,0,0,1,0,198412.0,"4130 Webster Street, Oakland, CA 94609, United States of America"
-122.26,37.83,52,1656,420.0,718,382,2.6768,182300,0,0,0,1,0,185090.0,"4130 Webster Street, Oakland, CA 94609, United States of America"
-122.26,37.83,50,1125,322.0,616,304,2.026,142500,0,0,0,1,0,140211.0,"4130 Webster Street, Oakland, CA 94609, United States of America"
-122.27,37.82,43,1007,312.0,558,253,1.7348,137500,0,0,0,1,0,130700.0,"3026 Martin Luther King Jr Way, Oakland, CA 94609, United States of America"
-122.26,37.82,40,624,195.0,423,160,0.9506,187500,0,0,0,1,0,166472.01,"45 Randwick Avenue, Oakland, CA 94609, United States of America"
-122.27,37.82,40,946,375.0,700,352,1.775,112500,0,0,0,1,0,120263.0,"3026 Martin Luther King Jr Way, Oakland, CA 94609, United States of America"
-122.27,37.82,21,896,453.0,735,438,0.9218,171900,0,0,0,1,0,165001.0,"3026 Martin Luther King Jr Way, Oakland, CA 94609, United States of America"
-122.27,37.82,43,1868,456.0,1061,407,1.5045,93800,0,0,0,1,0,105691.0,"3026 Martin Luther King Jr Way, Oakland, CA 94609, United States of America"
-122.27,37.82,41,3221,853.0,1959,720,1.1108,97500,0,0,0,1,0,117758.0,"3026 Martin Luther King Jr Way, Oakland, CA 94609, United States of America"
-122.27,37.82,52,1630,456.0,1162,400,1.2475,104200,0,0,0,1,0,117145.01,"3026 Martin Luther King Jr Way, Oakland, CA 94609, United States of America"
-122.28,37.82,52,1170,235.0,701,233,1.6098,87500,0,0,0,1,0,96503.0,"2802 Linden Street, Emeryville, CA 94608, United States of America"
-122.28,37.82,52,945,243.0,576,220,1.4113,83100,0,0,0,1,0,91431.0,"2802 Linden Street, Emeryville, CA 94608, United States of America"
-122.28,37.82,52,1238,288.0,622,259,1.5057,87500,0,0,0,1,0,92290.0,"2802 Linden Street, Emeryville, CA 94608, United States of America"
-122.28,37.82,52,1489,335.0,728,244,0.8172,85300,0,0,0,1,0,96732.0,"2802 Linden Street, Emeryville, CA 94608, United States of America"
-122.28,37.82,52,1387,341.0,1074,304,1.2171,80300,0,0,0,1,0,85075.0,"2802 Linden Street, Emeryville, CA 94608, United States of America"
-122.29,37.82,2,158,43.0,94,57,2.5625,60000,0,0,0,1,0,93595.01,"1688 24th Street, Oakland, CA 94608, United States of America"
-122.29,37.83,52,1121,211.0,554,187,3.3929,75700,0,0,0,1,0,122655.0,"4090 Halleck Street, Emeryville, CA 94608, United States of America"
-122.29,37.82,49,135,29.0,86,23,6.1183,75000,0,0,0,1,0,178739.06,"1688 24th Street, Oakland, CA 94608, United States of America"
-122.29,37.81,50,760,190.0,377,122,0.9011,86100,0,0,0,1,0,89876.0,"1302 Kirkham Street, Oakland, CA 94607, United States of America"
-122.3,37.81,52,1224,237.0,521,159,1.191,76100,0,0,0,1,0,79784.0,"1737 10th Street, Oakland, CA 94607, United States of America"
-122.3,37.81,48,828,182.0,392,133,2.5938,73500,0,0,0,1,0,93638.0,"1737 10th Street, Oakland, CA 94607, United States of America"
-122.3,37.81,52,1010,209.0,604,187,1.1667,78400,0,0,0,1,0,81316.0,"1737 10th Street, Oakland, CA 94607, United States of America"
-122.3,37.81,48,1455,354.0,788,332,0.8056,84400,0,0,0,1,0,90227.0,"1737 10th Street, Oakland, CA 94607, United States of America"
-122.29,37.8,52,1027,244.0,492,147,2.6094,81300,0,0,0,1,0,111246.02,"1300 Middle Harbor Road, Oakland, CA 94607, United States of America"
-122.3,37.81,52,572,109.0,274,82,1.8516,85000,0,0,0,1,0,104885.03,"1737 10th Street, Oakland, CA 94607, United States of America"
-122.29,37.81,46,2801,644.0,1823,611,0.9802,129200,0,0,0,1,0,122439.0,"1302 Kirkham Street, Oakland, CA 94607, United States of America"
-122.29,37.81,26,768,152.0,392,127,1.7719,82500,0,0,0,1,0,94845.0,"1302 Kirkham Street, Oakland, CA 94607, United States of America"
-122.29,37.81,46,935,297.0,582,277,0.7286,95200,0,0,0,1,0,96725.0,"1302 Kirkham Street, Oakland, CA 94607, United States of America"
-122.29,37.81,49,844,204.0,560,152,1.75,75000,0,0,0,1,0,83834.0,"1302 Kirkham Street, Oakland, CA 94607, United States of America"
-122.29,37.81,46,12,4.0,18,7,0.4999,67500,0,0,0,1,0,142736.06,"1302 Kirkham Street, Oakland, CA 94607, United States of America"
-122.29,37.81,20,835,161.0,290,133,2.483,137500,0,0,0,1,0,126323.0,"1302 Kirkham Street, Oakland, CA 94607, United States of America"
-122.28,37.81,17,1237,462.0,762,439,0.9241,177500,0,0,0,1,0,164051.0,"1725 Market Street, Oakland, CA 94607, United States of America"
-122.28,37.81,36,2914,562.0,1236,509,2.4464,102100,0,0,0,1,0,117192.0,"1725 Market Street, Oakland, CA 94607, United States of America"
-122.28,37.81,19,1207,243.0,721,207,1.1111,108300,0,0,0,1,0,116645.0,"1725 Market Street, Oakland, CA 94607, United States of America"
-122.29,37.81,23,1745,374.0,1054,325,0.8026,112500,0,0,0,1,0,116132.0,"1302 Kirkham Street, Oakland, CA 94607, United States of America"
-122.28,37.8,38,684,176.0,344,155,2.0114,131300,0,0,0,1,0,133360.0,"431 Martin Luther King Junior Way, Oakland, CA 94607, United States of America"
-122.28,37.81,17,924,289.0,609,289,1.5,162500,0,0,0,1,0,149481.0,"1725 Market Street, Oakland, CA 94607, United States of America"
-122.27,37.81,52,210,56.0,183,56,1.1667,112500,0,0,0,1,0,134648.05,"Great Western Power Company, 520 Thomas L. Berkley Way, Oakland, CA 94612, United States of America"
-122.28,37.81,52,340,97.0,200,87,1.5208,112500,0,0,0,1,0,124555.03,"1725 Market Street, Oakland, CA 94607, United States of America"
-122.28,37.81,52,386,164.0,346,155,0.8075,137500,0,0,0,1,0,134526.01,"1725 Market Street, Oakland, CA 94607, United States of America"
-122.28,37.81,35,948,184.0,467,169,1.8088,118800,0,0,0,1,0,118811.0,"1725 Market Street, Oakland, CA 94607, United States of America"
-122.28,37.81,52,773,143.0,377,115,2.4083,98200,0,0,0,1,0,106632.0,"1725 Market Street, Oakland, CA 94607, United States of America"
-122.27,37.81,40,880,451.0,582,380,0.977,118800,0,0,0,1,0,128892.0,"Great Western Power Company, 520 Thomas L. Berkley Way, Oakland, CA 94612, United States of America"
-122.27,37.81,10,875,348.0,546,330,0.76,162500,0,0,0,1,0,159005.0,"Great Western Power Company, 520 Thomas L. Berkley Way, Oakland, CA 94612, United States of America"
-122.27,37.8,10,105,42.0,125,39,0.9722,137500,0,0,0,1,0,163626.06,"Milton Shoong Building, 10th Street, Oakland, CA 94607, United States of America"
-122.27,37.8,52,249,78.0,396,85,1.2434,500001,0,0,0,1,0,338783.56,"Milton Shoong Building, 10th Street, Oakland, CA 94607, United States of America"
-122.27,37.8,16,994,392.0,800,362,2.0938,162500,0,0,0,1,0,152064.0,"Milton Shoong Building, 10th Street, Oakland, CA 94607, United States of America"
-122.28,37.8,52,215,87.0,904,88,0.8668,137500,0,0,0,1,0,176611.11,"431 Martin Luther King Junior Way, Oakland, CA 94607, United States of America"
-122.28,37.8,52,96,31.0,191,34,0.75,162500,0,0,0,1,0,176285.06,"431 Martin Luther King Junior Way, Oakland, CA 94607, United States of America"
-122.27,37.79,27,1055,347.0,718,302,2.6354,187500,0,0,0,1,0,174561.0,"Eve's Waterfront, 15 Embarcadero West, Oakland, CA 94607, United States of America"
-122.27,37.8,39,1715,623.0,1327,467,1.8477,179200,0,0,0,1,0,158283.0,"Milton Shoong Building, 10th Street, Oakland, CA 94607, United States of America"
-122.26,37.82,31,4596,1331.0,2048,1180,2.8345,183800,0,0,0,1,0,202070.0,"45 Randwick Avenue, Oakland, CA 94609, United States of America"
-122.26,37.81,29,335,107.0,202,91,2.0062,125000,0,0,0,1,0,126916.0,"230 Grand Avenue, Oakland, CA 94610, United States of America"
-122.26,37.82,22,3682,1270.0,2024,1250,1.2185,170000,0,0,0,1,0,193595.04,"45 Randwick Avenue, Oakland, CA 94609, United States of America"
-122.26,37.82,37,3633,1085.0,1838,980,2.6104,193100,0,0,0,1,0,199317.0,"45 Randwick Avenue, Oakland, CA 94609, United States of America"
-122.25,37.81,29,4656,1414.0,2304,1250,2.4912,257800,0,0,0,1,0,227460.01,"431 Lagunitas Avenue, Oakland, CA 94610, United States of America"
-122.25,37.81,28,5806,1603.0,2563,1497,3.2177,273400,0,0,0,1,0,269694.02,"431 Lagunitas Avenue, Oakland, CA 94610, United States of America"
-122.25,37.81,39,854,242.0,389,228,3.125,237500,0,0,0,1,0,230413.0,"431 Lagunitas Avenue, Oakland, CA 94610, United States of America"
-122.25,37.81,52,2155,701.0,895,613,2.5795,350000,0,0,0,1,0,291021.0,"431 Lagunitas Avenue, Oakland, CA 94610, United States of America"
-122.24,37.82,52,1509,225.0,674,244,4.9306,313400,0,0,0,1,0,309087.02,"114 Magnolia Avenue, Piedmont, CA 94610, United States of America"
-122.24,37.81,52,2026,482.0,709,456,3.2727,268500,0,0,0,1,0,265463.0,"690 Longridge Road, Oakland, CA 94610, United States of America"
-122.25,37.81,52,1758,460.0,686,422,3.1691,259400,0,0,0,1,0,255086.0,"431 Lagunitas Avenue, Oakland, CA 94610, United States of America"
-122.24,37.82,52,3481,751.0,1444,718,3.9,275700,0,0,0,1,0,265733.0,"114 Magnolia Avenue, Piedmont, CA 94610, United States of America"
-122.25,37.82,28,3337,855.0,1520,802,3.9063,225000,0,0,0,1,0,239521.0,"612 Mariposa Avenue, Oakland, CA 94610, United States of America"
-122.25,37.82,52,1424,289.0,550,253,5.0917,262500,0,0,0,1,0,286604.01,"612 Mariposa Avenue, Oakland, CA 94610, United States of America"
-122.25,37.82,32,3809,1098.0,1806,1022,2.6429,218500,0,0,0,1,0,218792.0,"612 Mariposa Avenue, Oakland, CA 94610, United States of America"
-122.25,37.82,26,3959,1196.0,1749,1217,3.0233,255000,0,0,0,1,0,251575.01,"612 Mariposa Avenue, Oakland, CA 94610, United States of America"
-122.25,37.83,52,2376,559.0,939,519,3.1484,224100,0,0,0,1,0,232781.0,"190 John Street, Oakland, CA 94609, United States of America"
-122.25,37.83,35,1613,428.0,675,422,3.4722,243100,0,0,0,1,0,242816.0,"190 John Street, Oakland, CA 94609, United States of America"
-122.25,37.83,52,1279,287.0,534,291,3.1429,231600,0,0,0,1,0,235990.0,"190 John Street, Oakland, CA 94609, United States of America"
-122.25,37.83,52,4190,1105.0,1786,1037,3.0897,234100,0,0,0,1,0,237867.01,"190 John Street, Oakland, CA 94609, United States of America"
-122.23,37.84,50,2515,399.0,970,373,5.8596,327600,0,0,0,1,0,339464.01,"241 Florence Avenue, Oakland, CA 94618, United States of America"
-122.23,37.84,47,3175,454.0,1098,485,5.2868,347600,0,0,0,1,0,335594.0,"241 Florence Avenue, Oakland, CA 94618, United States of America"
-122.24,37.83,41,2576,406.0,794,376,5.956,366100,0,0,0,1,0,359784.0,"161 Ronada Avenue, Piedmont, CA 94611, United States of America"
-122.24,37.85,37,334,54.0,98,47,4.9643,335000,0,0,0,1,0,324657.01,"Grove Shafter Freeway, Oakland, CA 94618, United States of America"
-122.23,37.85,52,2800,411.0,1061,403,6.3434,373600,0,0,0,1,0,367270.01,"690 Hiller Drive, Oakland, CA 94618, United States of America"
-122.24,37.84,52,3529,574.0,1177,555,5.1773,389500,0,0,0,1,0,378546.06,"Claremont Country Club, 5295 Yorkshire Drive, Oakland, CA 94618, United States of America"
-122.24,37.85,52,2612,365.0,901,367,7.2354,391100,0,0,0,1,0,380548.0,"Grove Shafter Freeway, Oakland, CA 94618, United States of America"
-122.22,37.85,28,5287,1048.0,2031,956,5.457,337300,0,0,0,1,0,331287.0,"Temescal Creek Tunnel Branch, Oakland, CA 94618, United States of America"
-122.22,37.84,50,2935,473.0,1031,479,7.5,295200,0,0,0,1,0,319921.0,"6925 Broadway Terrace, Oakland, CA 94618, United States of America"
-122.21,37.84,44,3424,597.0,1358,597,6.0194,292300,0,0,0,1,0,316413.04,"6131 Thornhill Drive, Piedmont, CA 94611, United States of America"
-122.21,37.83,40,4991,674.0,1616,654,7.5544,411500,0,0,0,1,0,380341.0,"1816 Magellan Drive, Oakland, CA 94611, United States of America"
-122.2,37.84,30,2211,346.0,844,343,6.0666,311500,0,0,0,1,0,322168.02,"6519 Oakwood Drive, Oakland, CA 94611, United States of America"
-122.21,37.84,34,3038,490.0,1140,496,7.0548,325900,0,0,0,1,0,330790.0,"6131 Thornhill Drive, Piedmont, CA 94611, United States of America"
-122.2,37.84,35,2865,460.0,1072,443,7.4882,319300,0,0,0,1,0,326240.0,"6519 Oakwood Drive, Oakland, CA 94611, United States of America"
-122.21,37.83,34,5065,788.0,1627,766,6.8976,333300,0,0,0,1,0,342177.01,"1816 Magellan Drive, Oakland, CA 94611, United States of America"
-122.19,37.83,28,1326,184.0,463,190,8.2049,335200,0,0,0,1,0,363280.05,"6210 Elderberry Drive, Oakland, CA 94516, United States of America"
-122.2,37.83,26,1589,223.0,542,211,8.401,351200,0,0,0,1,0,370885.06,"Shepherd Canyon Trail, Oakland, CA 94602, United States of America"
-122.19,37.83,29,1791,271.0,661,269,6.8538,368900,0,0,0,1,0,378224.02,"6210 Elderberry Drive, Oakland, CA 94516, United States of America"
-122.19,37.82,32,1835,264.0,635,263,8.317,365900,0,0,0,1,0,390321.11,"3082 Holyrood Drive, Oakland, CA 94516, United States of America"
-122.2,37.82,37,1229,181.0,420,176,7.0175,366700,0,0,0,1,0,374889.0,"5620 Ascot Drive, Oakland, CA 94602, United States of America"
-122.2,37.82,39,3770,534.0,1265,500,6.3302,362800,0,0,0,1,0,360933.01,"5620 Ascot Drive, Oakland, CA 94602, United States of America"
-122.18,37.81,30,292,38.0,126,52,6.3624,483300,0,0,0,1,0,414668.02,"3550 Sanborn Drive, Oakland, CA 94619, United States of America"
-122.21,37.82,52,2375,333.0,813,350,7.0549,331400,0,0,0,1,0,340156.0,"282 Somerset Road, Oakland, CA 94602, United States of America"
-122.2,37.81,45,2964,436.0,1067,426,6.7851,323500,0,0,0,1,0,328556.0,"Greek Orthodox Church of the Ascension, 4700 Lincoln Avenue, Oakland, CA 94602, United States of America"
-122.21,37.8,50,2833,605.0,1260,552,2.8929,216700,0,0,0,1,0,201509.0,"3569 Laguna Avenue, Oakland, CA 94602, United States of America"
-122.21,37.8,38,2254,535.0,951,487,3.0812,233100,0,0,0,1,0,211995.0,"3569 Laguna Avenue, Oakland, CA 94602, United States of America"
-122.21,37.81,52,1389,212.0,510,224,5.2402,296400,0,0,0,1,0,308004.06,"4162 Lyman Road, Oakland, CA 94602, United States of America"
-122.22,37.81,52,1971,335.0,765,308,6.5217,273700,0,0,0,1,0,303000.02,"1135 Glendora Avenue, Oakland, CA 94602, United States of America"
-122.22,37.8,52,2183,465.0,1129,460,3.2632,227700,0,0,0,1,0,218618.0,"1801 MacArthur Boulevard, Oakland, CA 94602, United States of America"
-122.22,37.8,52,2286,464.0,1073,441,3.0298,199600,0,0,0,1,0,196593.0,"1801 MacArthur Boulevard, Oakland, CA 94602, United States of America"
-122.22,37.8,52,2721,541.0,1185,515,4.5428,239800,0,0,0,1,0,265822.02,"1801 MacArthur Boulevard, Oakland, CA 94602, United States of America"
-122.22,37.81,52,2024,339.0,756,340,4.072,270100,0,0,0,1,0,256746.0,"1135 Glendora Avenue, Oakland, CA 94602, United States of America"
-122.22,37.81,52,2944,536.0,1034,521,5.3509,302100,0,0,0,1,0,323024.02,"1135 Glendora Avenue, Oakland, CA 94602, United States of America"
-122.23,37.8,52,2033,486.0,787,459,3.1603,269500,0,0,0,1,0,256126.0,"1444 East 32nd Street, Oakland, CA 94602, United States of America"
-122.23,37.81,52,1433,229.0,612,213,4.7708,314700,0,0,0,1,0,306463.0,"1021 Longridge Road, Oakland, CA 94611, United States of America"
-122.22,37.81,52,2927,402.0,1021,380,8.1564,390100,0,0,0,1,0,418021.09,"1135 Glendora Avenue, Oakland, CA 94602, United States of America"
-122.23,37.81,52,2315,292.0,861,258,8.8793,410300,0,0,0,1,0,436248.23,"1021 Longridge Road, Oakland, CA 94611, United States of America"
-122.24,37.81,52,2485,313.0,953,327,6.8591,352400,0,0,0,1,0,349283.02,"690 Longridge Road, Oakland, CA 94610, United States of America"
-122.24,37.81,52,1490,238.0,634,256,6.0302,287300,0,0,0,1,0,317599.02,"690 Longridge Road, Oakland, CA 94610, United States of America"
-122.23,37.81,52,2814,365.0,878,352,7.508,348700,0,0,0,1,0,344382.01,"1021 Longridge Road, Oakland, CA 94611, United States of America"
-122.24,37.81,52,2093,550.0,918,483,2.7477,243800,0,0,0,1,0,224213.0,"690 Longridge Road, Oakland, CA 94610, United States of America"
-122.24,37.8,52,888,168.0,360,175,2.1944,211500,0,0,0,1,0,183415.0,"2514;2516 9th Avenue, Oakland, CA 94606, United States of America"
-122.25,37.8,52,2087,510.0,1197,488,3.0149,218400,0,0,0,1,0,230339.0,"1901 Park Bl, Oakland, CA 94606, United States of America"
-122.24,37.81,52,2513,502.0,1048,518,3.675,269900,0,0,0,1,0,266426.0,"690 Longridge Road, Oakland, CA 94610, United States of America"
-122.25,37.81,46,3232,835.0,1373,747,3.225,218800,0,0,0,1,0,223530.0,"431 Lagunitas Avenue, Oakland, CA 94610, United States of America"
-122.25,37.8,42,4120,1065.0,1715,1015,2.9345,225000,0,0,0,1,0,226764.0,"1901 Park Bl, Oakland, CA 94606, United States of America"
-122.25,37.8,43,2364,792.0,1359,722,2.1429,250000,0,0,0,1,0,213058.0,"1901 Park Bl, Oakland, CA 94606, United States of America"
-122.25,37.8,41,1471,469.0,1062,413,1.6121,171400,0,0,0,1,0,157724.0,"1901 Park Bl, Oakland, CA 94606, United States of America"
-122.25,37.8,29,2468,864.0,1335,773,1.3929,193800,0,0,0,1,0,197910.03,"1901 Park Bl, Oakland, CA 94606, United States of America"
-122.24,37.79,27,1632,492.0,1171,429,2.3173,125000,0,0,0,1,0,127511.0,"1700 18th Avenue, Oakland, CA 94606, United States of America"
-122.25,37.79,45,1786,526.0,1475,460,1.7772,97500,0,0,0,1,0,109377.0,"1126 11th Avenue, Oakland, CA 94606, United States of America"
-122.25,37.79,50,629,188.0,742,196,2.6458,125000,0,0,0,1,0,148279.01,"1126 11th Avenue, Oakland, CA 94606, United States of America"
-122.25,37.79,52,1339,391.0,1086,363,2.181,138800,0,0,0,1,0,130250.0,"1126 11th Avenue, Oakland, CA 94606, United States of America"
-122.25,37.8,36,1678,606.0,1645,543,2.2303,116700,0,0,0,1,0,127405.0,"1901 Park Bl, Oakland, CA 94606, United States of America"
-122.25,37.8,43,2344,647.0,1710,644,1.6504,151800,0,0,0,1,0,148599.0,"1901 Park Bl, Oakland, CA 94606, United States of America"
-122.24,37.8,52,996,228.0,731,228,2.2697,127000,0,0,0,1,0,129315.0,"2514;2516 9th Avenue, Oakland, CA 94606, United States of America"
-122.24,37.8,52,1591,373.0,1118,347,2.1563,128600,0,0,0,1,0,128243.0,"2514;2516 9th Avenue, Oakland, CA 94606, United States of America"
-122.24,37.8,52,1586,398.0,1006,335,2.1348,140600,0,0,0,1,0,135207.0,"2514;2516 9th Avenue, Oakland, CA 94606, United States of America"
-122.24,37.8,47,2046,588.0,1213,554,2.6292,182700,0,0,0,1,0,181530.0,"2514;2516 9th Avenue, Oakland, CA 94606, United States of America"
-122.23,37.8,52,1192,289.0,772,257,2.3833,146900,0,0,0,1,0,134463.0,"1444 East 32nd Street, Oakland, CA 94602, United States of America"
-122.24,37.8,52,1803,420.0,1321,401,2.957,122800,0,0,0,1,0,156355.0,"2514;2516 9th Avenue, Oakland, CA 94606, United States of America"
-122.24,37.8,49,2838,749.0,1487,677,2.5238,169300,0,0,0,1,0,175705.0,"2514;2516 9th Avenue, Oakland, CA 94606, United States of America"
-122.23,37.8,52,783,184.0,488,186,1.9375,126600,0,0,0,1,0,136763.01,"1444 East 32nd Street, Oakland, CA 94602, United States of America"
-122.23,37.8,51,1590,414.0,949,392,1.9028,127900,0,0,0,1,0,129776.0,"1444 East 32nd Street, Oakland, CA 94602, United States of America"
-122.23,37.8,50,1746,480.0,1149,415,2.25,123500,0,0,0,1,0,125533.0,"1444 East 32nd Street, Oakland, CA 94602, United States of America"
-122.23,37.8,52,1252,299.0,844,280,2.3929,111900,0,0,0,1,0,117906.0,"1444 East 32nd Street, Oakland, CA 94602, United States of America"
-122.23,37.79,43,5963,1344.0,4367,1231,2.1917,112800,0,0,0,1,0,135185.0,"2240 23rd Avenue, Oakland, CA 94602, United States of America"
-122.23,37.79,52,1783,395.0,1659,412,2.9357,107900,0,0,0,1,0,129491.0,"2240 23rd Avenue, Oakland, CA 94602, United States of America"
